updated,A0,A1,A2,A3,A4,A5
11:18:07,6.860,5.628,4.550,0.000,0.000,8.010
11:18:00,6.801,5.332,4.159,0.000,0.000,8.010
11:17:51,6.612,5.012,4.431,0.000,0.000,7.974
11:17:44,6.351,5.960,5.036,0.000,0.000,8.010
11:17:35,6.730,5.249,4.621,0.000,0.000,7.998
11:17:27,6.623,5.391,4.562,0.000,0.000,8.022
11:17:19,6.849,5.711,4.574,0.000,0.000,7.986
11:17:12,6.777,5.273,4.526,0.000,0.000,7.998
11:17:03,6.612,5.344,4.503,0.000,0.000,8.022
11:16:56,6.600,5.059,4.526,0.000,0.000,8.010
11:16:47,7.050,5.391,4.360,0.000,0.000,8.022
11:16:40,6.825,5.344,4.728,0.000,0.000,8.022
11:16:31,6.540,5.190,4.360,0.000,0.000,8.010
11:16:23,6.292,6.031,4.822,0.000,0.000,8.022
11:16:15,6.896,5.723,4.657,0.000,0.000,8.022
11:16:07,7.240,6.090,4.894,0.000,0.000,7.998
11:15:59,6.955,5.652,4.657,0.000,0.000,8.022
11:15:51,6.860,5.640,4.526,0.000,0.000,8.010
11:15:43,6.706,5.462,4.526,0.000,0.000,8.010
11:15:35,6.695,5.285,4.431,0.000,0.000,7.974
11:15:27,6.849,5.332,4.621,0.000,0.000,8.010
11:15:19,6.540,5.403,4.467,0.000,0.000,7.986
11:15:11,6.943,5.450,4.811,0.000,0.000,8.010
11:15:04,6.422,6.126,4.822,0.000,0.000,7.974
11:14:55,6.896,5.616,4.775,0.000,0.000,8.022
11:14:47,6.837,5.154,4.491,0.000,0.000,7.986
11:14:39,6.730,4.585,4.325,0.000,0.000,8.022
11:14:31,6.801,5.557,4.763,0.000,0.000,8.010
11:14:23,6.884,5.439,4.704,0.000,0.000,7.998
11:14:15,6.801,5.320,4.739,0.000,0.000,8.010
11:14:07,6.718,5.166,4.633,0.000,0.000,8.010
11:14:00,6.718,5.450,5.000,0.000,0.000,8.010
11:13:51,7.121,5.782,4.597,0.000,0.000,8.010
11:13:43,6.386,5.581,4.799,0.000,0.000,8.022
11:13:36,6.410,5.794,4.882,0.000,0.000,8.010
11:13:28,7.014,5.865,4.739,0.000,0.000,7.986
11:13:19,6.766,5.628,4.585,0.000,0.000,8.022
11:13:11,6.671,6.161,4.953,0.000,0.000,7.974
11:13:04,6.860,5.640,4.799,0.000,0.000,8.010
11:12:56,6.505,5.142,4.645,0.000,0.000,7.986
11:12:48,7.204,6.055,5.036,0.000,0.000,7.998
11:12:40,6.505,5.202,4.550,0.000,0.000,7.998
11:12:32,6.766,5.640,4.680,0.000,0.000,8.022
11:12:24,6.671,5.533,4.585,0.000,0.000,7.974
11:12:16,6.529,5.059,4.597,0.000,0.000,8.022
11:12:08,6.659,5.213,4.431,0.000,0.000,7.974
11:12:00,6.695,5.190,4.526,0.000,0.000,8.022
11:11:52,6.872,5.403,4.775,0.000,0.000,7.986
11:11:44,6.991,6.138,4.882,0.000,0.000,7.998
11:11:36,7.121,5.818,4.479,0.000,0.000,8.010
11:11:28,6.801,5.213,4.443,0.000,0.000,7.998
11:11:19,6.955,5.723,4.882,0.000,0.000,8.010
11:11:11,6.777,5.379,4.633,0.000,0.000,7.986
11:11:05,7.251,6.315,4.894,0.000,0.000,7.998
11:10:24,7.097,5.818,4.716,0.000,0.000,7.998
11:10:16,7.133,5.960,4.894,0.000,0.000,8.010
11:10:08,6.920,5.948,4.787,0.000,0.000,8.033
11:10:00,6.931,5.936,4.965,0.000,0.000,7.974
11:09:52,6.458,5.142,4.479,0.000,0.000,7.998
11:09:44,6.671,5.154,4.574,0.000,0.000,8.010
11:09:36,7.251,6.173,4.680,0.000,0.000,8.010
11:09:28,6.754,5.474,4.431,0.000,0.000,8.164
11:09:20,7.251,6.067,4.953,0.000,0.000,7.998
11:09:12,7.074,5.545,4.657,0.000,0.000,8.022
11:09:04,7.074,5.687,4.775,0.000,0.000,7.986
11:08:56,6.813,5.557,4.562,0.000,0.000,7.998
11:08:48,6.588,5.249,4.657,0.000,0.000,7.998
11:08:40,6.505,5.190,4.633,0.000,0.000,8.022
11:08:32,6.766,5.664,4.799,0.000,0.000,7.998
11:08:24,6.683,5.308,4.763,0.000,0.000,8.022
11:08:16,6.695,5.000,4.479,0.000,0.000,7.998
11:08:08,7.109,6.055,4.953,0.000,0.000,7.998
11:08:00,6.493,5.735,4.787,0.000,0.000,7.986
11:07:52,6.931,5.510,4.585,0.000,0.000,8.010
11:07:44,7.228,6.232,4.787,0.000,0.000,7.998
11:07:36,6.789,5.273,4.657,0.000,0.000,8.022
11:07:28,6.754,6.138,4.846,0.000,0.000,7.998
11:07:20,6.659,5.391,4.479,0.000,0.000,8.022
11:07:12,6.967,5.521,4.751,0.000,0.000,7.998
11:07:04,6.683,5.379,4.763,0.000,0.000,8.022
11:06:56,6.849,5.415,4.799,0.000,0.000,7.986
11:06:48,7.074,5.806,4.882,0.000,0.000,7.998
11:06:40,6.967,5.889,4.763,0.000,0.000,7.998
11:06:32,6.623,5.557,4.941,0.000,0.000,8.033
11:06:24,6.991,5.699,4.929,0.000,0.000,8.010
11:06:16,6.706,5.462,4.739,0.000,0.000,7.998
11:06:08,6.635,5.557,4.538,0.000,0.000,8.010
11:06:00,6.754,5.273,4.491,0.000,0.000,7.998
11:05:52,6.623,5.130,4.443,0.000,0.000,8.010
11:05:44,6.434,6.007,5.213,0.000,0.000,8.010
11:05:36,6.920,5.486,4.467,0.000,0.000,8.033
11:05:28,6.659,5.936,4.751,0.000,0.000,7.998
11:05:19,6.991,5.604,4.739,0.000,0.000,8.022
11:05:12,6.789,5.498,4.562,0.000,0.000,7.986
11:05:04,6.837,5.593,4.799,0.000,0.000,8.022
11:04:56,6.730,5.593,4.787,0.000,0.000,7.998
11:04:47,6.695,5.545,4.503,0.000,0.000,8.010
11:04:39,6.742,5.427,4.550,0.000,0.000,8.022
11:04:31,6.849,5.190,4.929,0.000,0.000,8.010