updated,A3,A5
13:16:32,4.917,4.953
13:16:31,4.917,4.965
13:16:30,4.905,4.953
13:16:29,4.917,4.965
13:16:28,4.905,4.953
13:16:27,4.929,4.953
13:16:26,4.917,4.965
13:16:24,4.917,4.965
13:16:24,4.917,4.965
13:16:22,4.905,4.965
13:16:22,4.905,4.953
13:16:20,4.917,4.965
13:16:20,4.929,4.953
13:16:18,4.917,4.976
13:16:18,4.917,4.965
13:16:16,4.894,4.976
13:16:16,4.917,4.976
13:16:14,4.905,4.953
13:16:13,4.917,4.965
13:16:12,4.917,4.953
13:16:11,4.917,4.965
13:16:10,4.905,4.965
13:16:09,4.917,4.976
13:16:08,4.905,4.941
13:16:07,4.917,4.976
13:16:06,4.917,4.953
13:16:05,4.894,4.953
13:16:04,4.917,4.965
13:16:03,4.917,4.941
13:16:02,4.905,4.976
13:16:01,4.905,4.953
13:16:00,4.917,4.965
13:15:59,4.965,4.976
13:15:58,4.905,4.965
13:15:56,4.917,4.953
13:15:56,4.917,4.953
13:15:55,4.917,4.965
13:15:54,4.905,4.965
13:15:53,4.905,4.953
13:15:52,4.917,4.953
13:15:51,4.929,4.976
13:15:50,4.929,4.953
13:15:49,4.917,4.965
13:15:48,4.917,4.965
13:15:47,4.894,4.953
13:15:47,4.929,4.965
13:15:45,4.905,4.953
13:15:44,4.905,4.965
13:15:43,4.917,4.941
13:15:43,4.917,4.965
13:15:41,4.905,4.953
13:15:40,4.905,4.965
13:15:39,4.917,4.965
13:15:38,4.905,4.941
13:15:36,4.905,4.965
13:15:36,4.905,4.953
13:15:35,4.917,4.941
13:15:34,4.929,4.953
13:15:33,4.905,4.965
13:15:32,4.905,4.965
13:15:31,4.894,4.941
13:15:30,4.905,4.965
13:15:29,4.917,4.953
13:15:28,4.905,4.965
13:15:27,4.894,4.941
13:15:25,4.917,4.965
13:15:25,4.917,4.965
13:15:24,4.905,4.965
13:15:23,4.905,4.965
13:15:22,4.905,4.953
13:15:21,4.917,4.965
13:15:20,4.905,4.941
13:15:19,4.905,4.965
13:15:19,4.917,4.965
13:15:17,4.905,4.941
13:15:16,4.905,4.941
13:15:16,4.905,4.953
13:15:14,4.929,4.953
13:15:13,4.917,4.953
13:15:12,4.917,4.965
13:15:10,4.917,4.953
13:15:10,4.929,4.965
13:15:09,4.917,4.965
13:15:08,4.917,4.976
13:15:07,4.917,4.976
13:15:06,4.905,4.953
13:15:05,4.905,4.965
13:15:04,4.905,4.965
13:15:03,4.917,4.953
13:15:03,4.905,4.953
13:15:01,4.894,4.965
13:15:00,4.894,4.941
13:14:59,4.894,4.953
13:14:58,4.917,4.965
13:14:57,4.917,4.965
13:14:55,4.905,4.941
13:14:55,4.905,4.965
13:14:54,4.917,4.965
13:14:53,4.929,4.965
13:14:52,4.917,4.965
13:14:51,4.929,4.965
13:14:50,4.917,4.953
13:14:48,4.929,4.941
13:14:48,4.917,4.941
13:14:47,4.917,4.941
13:14:46,4.882,4.953
13:14:45,5.000,4.953
13:14:44,4.917,4.941
13:14:43,4.917,4.953
13:14:42,4.929,4.965
13:14:41,4.894,4.953
13:14:39,4.917,4.976
13:14:39,4.905,4.953
13:14:38,4.917,4.965
13:14:37,4.929,4.965
13:14:36,4.917,4.953
13:14:35,4.917,4.953
13:14:34,4.894,4.953
13:14:33,4.929,4.965
13:14:32,4.894,4.965
13:14:31,4.905,4.976
13:14:31,4.917,4.976
13:14:29,4.917,4.941
13:14:28,4.917,4.953
13:14:27,4.905,4.953
13:14:26,4.917,4.965
13:14:24,4.917,4.965
13:14:24,4.917,4.965
13:14:23,4.905,4.941
13:14:23,4.917,4.965
13:14:21,4.905,4.976
13:14:20,4.905,4.953
13:14:19,4.905,4.953
13:14:18,4.905,4.953
13:14:17,4.905,4.965
13:14:16,4.905,4.953
13:14:15,4.905,4.965
13:14:14,4.905,4.941
13:14:13,4.917,4.953
13:14:13,4.917,4.965
13:14:11,4.905,4.965
13:14:10,4.905,4.941
13:14:09,4.917,4.953
13:14:07,4.929,4.965
13:14:07,4.917,4.953
13:14:06,4.917,5.024
13:14:06,4.905,4.965
13:14:04,4.917,4.965
13:14:03,4.905,4.941
13:14:02,4.905,4.965
13:14:01,4.894,4.965
13:14:00,4.917,4.941
13:13:59,4.917,4.976
13:13:58,4.894,4.941
13:13:57,4.917,4.965
13:13:56,4.917,4.976
13:13:55,4.917,4.976
13:13:54,4.894,4.965
13:13:53,4.929,4.965
13:13:53,4.917,4.965
13:13:51,4.894,4.965
13:13:50,4.905,4.953
13:13:49,4.905,4.953
13:13:48,4.929,4.953
13:13:47,4.905,4.953
13:13:46,4.917,4.953
13:13:45,4.905,4.976
13:13:44,4.905,4.953
13:13:43,4.917,4.976
13:13:42,4.917,4.941
13:13:41,4.905,4.976
13:13:40,4.894,4.941
13:13:38,4.917,4.953
13:13:38,4.917,4.941
13:13:37,4.905,4.953
13:13:36,4.905,4.976
13:13:35,4.905,4.965
13:13:34,4.905,4.976
13:13:33,4.917,4.965
13:13:31,4.894,4.941
13:13:31,4.894,4.941
13:13:29,4.894,4.965
13:13:29,4.894,4.965
13:13:27,4.917,4.965
13:13:26,4.905,4.953
13:13:25,4.929,4.976
13:13:24,4.917,4.941
13:13:23,4.917,4.965
13:13:23,4.905,4.965
13:13:21,4.917,4.965
13:13:20,4.905,4.953
13:13:19,4.905,4.953
13:13:18,4.905,4.976
13:13:17,4.894,4.953
13:13:16,4.917,4.965
13:13:15,4.894,4.965
13:13:14,4.917,4.976
13:13:13,4.917,4.976
13:13:12,4.905,4.941
13:13:11,4.894,4.965
13:13:10,4.905,4.953
13:13:09,4.905,4.965
13:13:08,4.905,4.953
13:13:07,4.905,4.965
13:13:06,4.905,4.965
13:13:05,4.905,4.941
13:13:04,4.905,4.953
13:13:03,4.894,4.953
13:13:02,4.917,4.965
13:13:00,4.905,4.941
13:13:00,4.917,4.941
13:12:59,4.894,4.953
13:12:57,4.917,4.953
13:12:57,4.905,4.953
13:12:56,4.894,4.976
13:12:55,4.917,4.965
13:12:54,4.917,4.953
13:12:53,4.905,4.965
13:12:52,4.905,4.953
13:12:51,4.894,4.976
13:12:50,4.917,4.953
13:12:49,4.929,4.965
13:12:48,4.917,4.965
13:12:47,4.917,4.941
13:12:46,4.905,4.965
13:12:45,4.905,4.953
13:12:44,4.905,4.965
13:12:43,4.917,4.941
13:12:42,4.917,4.976
13:12:41,4.905,4.953
13:12:40,4.905,4.953
13:12:39,4.917,4.965
13:12:38,4.894,4.953
13:12:37,4.917,4.976
13:12:36,4.894,4.941
13:12:35,4.905,4.941
13:12:34,4.917,4.953
13:12:33,4.905,4.965
13:12:32,4.917,4.965
13:12:31,4.905,4.965
13:12:29,4.905,4.965
13:12:29,4.917,4.965
13:12:28,4.929,4.965
13:12:27,4.917,4.976
13:12:26,4.917,4.965
13:12:25,4.917,4.965
13:12:24,4.929,4.965
13:12:23,4.917,4.953
13:12:22,4.905,4.976
13:12:21,4.917,4.976
13:12:20,4.905,4.965
13:12:19,4.929,4.965
13:12:17,4.894,4.965
13:12:17,4.917,4.941
13:12:16,4.905,4.953
13:12:15,4.917,4.953
13:12:14,4.905,4.976
13:12:13,4.894,4.953
13:12:12,4.917,4.953
13:12:11,4.894,4.941
13:12:10,4.905,4.976
13:12:09,4.905,4.976
13:12:08,4.894,4.965
13:12:07,4.929,4.965
13:12:06,4.917,4.976
13:12:05,4.905,4.965
13:12:03,4.941,4.965
13:12:03,4.941,4.976
13:12:02,4.917,4.965
13:12:01,4.917,4.976
13:12:00,4.905,4.941
13:11:59,4.894,4.976
13:11:58,4.894,4.953
13:11:57,4.894,4.965
13:11:56,4.917,4.976
13:11:56,4.917,4.953
13:11:54,4.917,4.953
13:11:53,4.894,4.953
13:11:52,4.917,4.976
13:11:51,4.905,4.965
13:11:50,4.905,4.965
13:11:49,4.894,4.965
13:11:48,4.905,4.953
13:11:47,4.917,4.976
13:11:46,4.905,4.965
13:11:45,4.917,4.965
13:11:45,4.929,4.965
13:11:43,4.905,4.965
13:11:42,4.905,4.965
13:11:41,4.905,4.965
13:11:40,4.894,4.965
13:11:39,4.894,4.941
13:11:38,4.929,4.976
13:11:37,4.882,4.965
13:11:36,4.917,4.976
13:11:35,4.917,4.941
13:11:34,4.917,4.965
13:11:33,4.905,4.965
13:11:32,4.917,4.965
13:11:31,4.905,4.965
13:11:30,4.894,4.965
13:11:29,4.917,4.976
13:11:28,4.917,4.965
13:11:27,4.917,4.965
13:11:26,4.917,4.953
13:11:25,4.929,4.976
13:11:24,4.917,4.965
13:11:23,4.905,4.953
13:11:22,4.917,4.976
13:11:21,4.905,4.953
13:11:20,4.929,4.965
13:11:19,4.917,4.976
13:11:18,4.905,4.965
13:11:17,4.917,4.953
13:11:17,4.894,4.953
13:11:15,4.917,4.965
13:11:14,4.894,4.953
13:11:13,4.905,4.965
13:11:13,4.894,4.953
13:11:11,4.917,4.953
13:11:10,4.905,4.965
13:11:09,4.917,4.965
13:11:08,4.917,4.965
13:11:07,4.929,4.976
13:11:06,4.905,4.976
13:11:05,4.905,4.965
13:11:04,4.905,4.976
13:11:03,4.905,4.941
13:11:02,4.905,4.965
13:11:01,4.905,4.976
13:10:59,4.929,4.941
13:10:59,4.917,4.953
13:10:58,4.905,4.953
13:10:57,4.917,4.976
13:10:56,4.917,4.941
13:10:55,4.917,4.976
13:10:53,4.905,4.976
13:10:53,4.929,4.965
13:10:52,4.917,4.965
13:10:51,4.917,4.976
13:10:50,4.917,4.965
13:10:49,4.894,4.965
13:10:48,4.929,4.953
13:10:47,4.905,4.965
13:10:46,4.905,4.953
13:10:45,4.917,4.976
13:10:44,4.905,4.953
13:10:43,4.929,4.965
13:10:41,4.929,4.965
13:10:41,4.929,4.965
13:10:40,4.917,4.953
13:10:39,4.917,4.941
13:10:38,4.894,4.953
13:10:37,4.917,4.976
13:10:36,4.905,4.965
13:10:35,4.882,4.953
13:10:33,4.917,4.965
13:10:33,4.917,4.953
13:10:32,4.917,4.976
13:10:31,4.894,4.953
13:10:30,4.917,4.976
13:10:29,4.905,4.953
13:10:28,4.905,4.965
13:10:27,4.917,4.976
13:10:26,4.917,4.976
13:10:24,4.917,4.953
13:10:24,4.905,4.965
13:10:23,4.917,4.965
13:10:22,4.882,4.965
13:10:21,4.917,4.976
13:10:20,4.894,4.953
13:10:19,4.929,4.965
13:10:18,4.929,4.965
13:10:16,4.905,4.953
13:10:16,4.894,4.965
13:10:15,4.917,4.953
13:10:15,4.917,4.965
13:10:13,4.905,4.953
13:10:12,4.905,4.965
13:10:11,4.894,4.965
13:10:09,4.905,4.953
13:10:09,4.905,4.976
13:10:08,4.894,4.953
13:10:07,4.917,4.953
13:10:06,4.905,4.953
13:10:05,4.929,4.965
13:10:04,4.976,4.976
13:10:03,4.905,4.965
13:10:02,4.905,4.965
13:10:01,4.917,4.965
13:10:00,4.905,4.965
13:09:58,4.917,4.953
13:09:58,4.917,4.953
13:09:57,4.905,4.953
13:09:56,4.905,4.976
13:09:55,4.917,4.965
13:09:54,4.894,4.953
13:09:53,4.917,4.965
13:09:53,4.882,4.941
13:09:51,4.929,4.976
13:09:50,4.917,4.953
13:09:49,4.929,4.976
13:09:48,4.894,4.965
13:09:47,4.917,4.965
13:09:46,4.894,4.941
13:09:45,4.905,4.941
13:09:44,4.917,4.965
13:09:43,4.917,4.953
13:09:42,4.905,4.965
13:09:41,4.905,4.953
13:09:40,4.905,4.965
13:09:39,4.917,4.976
13:09:38,4.917,4.965
13:09:37,4.905,4.953
13:09:36,4.905,4.953
13:09:35,4.929,4.965
13:09:34,4.917,4.953
13:09:33,4.917,4.965
13:09:32,4.905,4.953
13:09:31,4.917,4.965
13:09:31,4.917,4.976
13:09:29,4.905,4.953
13:09:28,4.894,4.953
13:09:27,4.894,4.965
13:09:26,4.894,4.965
13:09:24,4.905,4.953
13:09:24,4.917,4.976
13:09:23,4.905,4.965
13:09:22,4.917,4.965
13:09:21,4.905,4.953
13:09:20,4.917,4.965
13:09:19,4.917,4.941
13:09:18,4.905,4.953
13:09:17,4.917,4.976
13:09:16,4.905,4.941
13:09:15,4.905,4.965
13:09:14,4.905,4.953
13:09:13,4.894,4.953
13:09:12,4.905,4.965
13:09:11,4.917,4.953
13:09:09,4.917,4.953
13:09:09,4.905,4.941
13:09:08,4.905,4.941
13:09:08,4.894,4.941
13:09:06,4.917,4.953
13:09:05,4.905,4.976
13:09:04,4.917,4.965
13:09:03,4.905,4.976
13:09:02,4.905,4.953
13:09:01,4.917,4.965
13:09:00,4.905,4.941
13:08:59,4.905,4.953
13:08:58,4.894,4.953
13:08:57,4.905,4.965
13:08:56,4.905,4.953
13:08:55,4.917,4.953
13:08:55,4.917,4.953
13:08:53,4.917,4.953
13:08:52,4.917,4.953
13:08:51,4.905,4.976
13:08:50,4.917,5.036
13:08:49,4.905,4.953
13:08:48,4.917,4.965
13:08:47,4.917,4.941
13:08:46,4.905,4.953
13:08:44,4.905,4.976
13:08:44,4.905,4.941
13:08:43,4.917,4.965
13:08:42,4.905,4.953
13:08:41,4.917,4.965
13:08:40,4.894,4.941
13:08:39,4.894,4.941
13:08:38,4.917,4.965
13:08:37,4.917,4.953
13:08:36,4.917,4.965
13:08:35,4.905,4.953
13:08:34,4.905,4.953
13:08:33,4.905,4.965
13:08:32,4.929,4.965
13:08:31,4.917,4.965
13:08:30,4.905,4.941
13:08:29,4.917,4.941
13:08:28,4.905,4.929
13:08:27,4.905,4.965
13:08:26,4.905,4.929
13:08:25,4.917,4.953
13:08:24,4.917,4.941
13:08:23,4.917,4.953
13:08:22,4.917,4.965
13:08:21,4.905,4.953
13:08:20,4.929,4.976
13:08:19,4.905,4.953
13:08:18,4.905,4.976
13:08:17,4.882,4.941
13:08:16,4.917,4.965
13:08:15,4.917,4.953
13:08:14,4.917,4.953
13:08:13,4.905,4.965
13:08:12,4.894,4.953
13:08:11,4.894,4.965
13:08:10,4.905,4.941
13:08:09,4.917,4.965
13:08:08,4.905,4.941
13:08:07,4.929,4.965
13:08:06,4.894,4.965
13:08:05,4.905,4.953
13:08:04,4.917,4.976
13:08:03,4.905,4.941
13:08:02,4.905,4.965
13:08:01,4.905,4.941
13:08:00,4.905,4.941
13:07:59,4.905,4.965
13:07:58,4.905,4.965
13:07:57,4.917,4.941
13:07:56,4.929,4.965
13:07:55,4.917,4.965
13:07:54,4.917,4.953
13:07:53,4.905,4.941
13:07:52,4.905,4.953
13:07:51,4.905,4.965
13:07:50,4.917,4.965
13:07:49,4.917,4.965
13:07:48,4.917,4.941
13:07:47,4.917,4.953
13:07:46,4.917,4.965
13:07:45,4.905,4.953
13:07:44,4.929,4.965
13:07:43,4.894,4.953
13:07:42,4.917,4.965
13:07:41,4.917,4.965
13:07:40,4.905,4.965
13:07:39,4.917,4.953
13:07:38,4.917,4.953
13:07:37,4.917,4.953
13:07:36,4.917,4.965
13:07:35,4.917,4.941
13:07:34,4.905,4.965
13:07:33,4.917,4.965
13:07:32,4.905,4.953
13:07:32,4.917,4.965
13:07:30,4.905,4.965
13:07:29,4.905,4.953
13:07:28,4.917,4.965
13:07:28,4.917,4.965
13:07:26,4.905,4.953
13:07:25,4.905,4.953
13:07:24,4.905,4.965
13:07:23,4.917,4.965
13:07:22,4.905,4.953
13:07:21,4.917,4.965
13:07:20,4.905,4.953
13:07:19,4.905,4.953
13:07:18,4.905,4.953
13:07:17,4.917,4.953
13:07:16,4.917,4.941
13:07:15,4.894,4.941
13:07:14,4.917,4.953
13:07:13,4.905,4.953
13:07:12,4.917,4.965
13:07:11,4.882,4.953
13:07:10,4.917,4.953
13:07:09,4.917,4.941
13:07:08,4.917,4.965
13:07:07,4.905,4.941
13:07:06,4.894,4.941
13:07:05,4.929,4.965
13:07:04,4.905,4.941
13:07:03,4.917,4.953
13:07:02,4.905,4.953
13:07:01,4.894,4.965
13:07:00,4.894,4.953
13:06:59,4.894,4.953
13:06:58,4.988,4.965
13:06:57,4.917,4.953
13:06:56,4.917,4.965
13:06:55,4.905,4.941
13:06:54,4.917,4.965
13:06:53,4.905,4.953
13:06:52,4.894,4.941
13:06:51,4.905,4.941
13:06:50,4.905,4.953
13:06:49,4.917,4.965
13:06:47,4.905,4.953
13:06:47,4.917,4.965
13:06:46,4.917,4.965
13:06:45,4.917,4.965
13:06:44,4.905,4.965
13:06:43,4.894,4.929
13:06:42,4.917,4.976
13:06:41,4.905,4.965
13:06:40,4.917,4.953
13:06:39,4.905,4.953
13:06:38,4.917,4.965
13:06:38,4.917,4.941
13:06:36,4.894,4.929
13:06:35,4.917,4.941
13:06:34,4.905,4.965
13:06:33,4.929,4.953
13:06:32,4.905,4.941
13:06:31,4.905,4.941
13:06:30,4.929,4.941
13:06:29,4.905,4.965
13:06:28,4.882,4.953
13:06:27,4.882,4.953
13:06:26,4.917,4.941
13:06:25,4.894,4.953
13:06:24,4.905,4.965
13:06:23,4.905,4.953
13:06:22,4.917,4.965
13:06:21,4.905,4.953
13:06:20,4.905,4.941
13:06:19,4.905,4.953
13:06:18,4.917,4.953
13:06:17,4.917,4.965
13:06:16,4.882,4.953
13:06:15,4.894,4.953
13:06:14,4.905,4.953
13:06:13,4.929,4.953
13:06:12,4.917,4.965
13:06:11,4.894,4.953
13:06:10,4.917,4.953
13:06:09,4.917,4.929
13:06:08,4.917,4.953
13:06:07,4.905,4.953
13:06:06,4.917,4.965
13:06:05,4.917,4.929
13:06:04,4.905,4.953
13:06:03,4.905,4.965
13:06:02,4.917,4.965
13:06:00,4.894,4.965
13:06:00,4.905,4.953
13:05:59,4.917,4.941
13:05:58,4.905,4.953
13:05:57,4.917,4.953
13:05:56,4.894,4.965
13:05:55,4.929,4.953
13:05:54,4.905,4.953
13:05:53,4.917,4.953
13:05:52,4.929,4.965
13:05:51,4.917,4.941
13:05:50,4.929,4.965
13:05:49,4.917,4.953
13:05:49,4.894,4.953
13:05:47,4.917,4.965
13:05:46,4.929,4.941
13:05:45,4.929,4.953
13:05:43,4.905,4.953
13:05:43,4.905,4.953
13:05:42,4.905,4.953
13:05:41,4.917,4.953
13:05:40,4.917,4.965
13:05:39,4.929,4.965
13:05:38,4.929,4.953
13:05:37,4.929,4.953
13:05:36,4.905,4.965
13:05:35,4.905,4.976
13:05:34,4.917,4.941
13:05:33,4.917,4.953
13:05:32,4.917,4.965
13:05:31,4.917,4.953
13:05:30,4.917,4.953
13:05:29,4.917,4.965
13:05:28,4.894,4.941
13:05:27,4.917,4.976
13:05:26,4.894,4.941
13:05:25,4.917,4.953
13:05:24,4.905,4.953
13:05:23,4.905,4.953
13:05:22,4.905,4.953
13:05:21,4.917,4.953
13:05:20,4.905,4.953
13:05:19,4.905,4.953
13:05:18,4.917,4.953
13:05:17,4.905,4.953
13:05:16,4.905,4.965
13:05:15,4.905,4.965
13:05:14,4.905,4.953
13:05:13,4.894,4.965
13:05:12,4.917,4.953
13:05:11,4.917,4.965
13:05:10,4.917,4.953
13:05:09,4.917,4.965
13:05:08,4.894,4.953
13:05:07,4.917,4.953
13:05:06,4.894,4.953
13:05:05,4.917,4.965
13:05:04,4.917,4.965
13:05:03,4.905,4.953
13:05:02,4.894,4.965
13:05:01,4.905,4.953
13:05:00,4.929,4.953
13:04:59,4.917,4.941
13:04:58,4.905,4.953
13:04:57,4.905,4.953
13:04:56,4.905,4.953
13:04:55,4.917,4.953
13:04:54,4.894,4.941
13:04:53,4.917,4.965
13:04:52,4.905,4.953
13:04:51,4.917,4.965
13:04:50,4.905,4.953
13:04:49,4.917,4.941
13:04:48,4.905,4.953
13:04:47,4.894,4.965
13:04:46,4.917,4.965
13:04:44,4.917,4.953
13:04:44,4.917,4.965
13:04:43,4.905,4.953
13:04:41,4.917,4.941
13:04:41,4.905,4.965
13:04:40,4.917,4.941
13:04:39,4.929,4.965
13:04:38,4.905,4.941
13:04:37,4.905,4.965
13:04:36,4.917,4.941
13:04:35,4.929,4.953
13:04:34,4.905,4.953
13:04:33,4.905,4.965
13:04:32,4.894,4.953
13:04:31,4.894,4.953
13:04:30,4.917,4.976
13:04:29,4.905,4.953
13:04:28,4.917,4.965
13:04:27,4.905,4.953
13:04:26,4.917,4.965
13:04:25,4.894,4.965
13:04:24,4.917,4.965
13:04:23,4.905,4.953
13:04:22,4.917,4.965
13:04:21,4.976,4.965
13:04:20,4.894,4.953
13:04:19,4.917,4.953
13:04:18,4.905,4.941
13:04:17,4.905,4.965
13:04:16,4.905,4.953
13:04:15,4.905,4.953
13:04:14,4.894,4.941
13:04:13,4.929,4.965
13:04:12,4.929,4.965
13:04:11,4.917,4.941
13:04:10,4.917,4.976
13:04:09,4.905,4.941
13:04:09,4.917,4.953
13:04:07,4.929,4.953
13:04:06,4.905,4.953
13:04:05,4.917,4.965
13:04:04,4.905,4.953
13:04:03,4.917,4.953
13:04:02,4.905,4.941
13:04:01,4.917,4.965
13:04:00,4.905,4.941
13:03:59,4.917,4.965
13:03:58,4.894,4.965
13:03:57,4.905,4.965
13:03:56,4.929,4.965
13:03:55,4.905,4.953
13:03:54,4.917,4.953
13:03:53,4.917,4.953
13:03:52,4.929,4.941
13:03:51,4.917,4.953
13:03:50,4.905,4.965
13:03:49,4.905,4.965
13:03:48,4.917,4.976
13:03:47,4.917,4.965
13:03:46,4.894,4.953
13:03:45,4.929,4.965
13:03:44,4.917,4.953
13:03:43,4.905,4.976
13:03:42,4.882,4.953
13:03:41,4.905,4.953
13:03:40,4.917,4.965
13:03:39,4.905,4.953
13:03:38,4.929,4.953
13:03:37,4.917,4.953
13:03:36,4.905,4.941
13:03:35,4.905,4.953
13:03:34,4.929,4.953
13:03:33,4.929,4.965
13:03:32,4.905,4.953
13:03:31,4.905,4.965
13:03:30,4.917,4.965
13:03:29,4.917,4.965
13:03:28,4.905,4.953
13:03:27,4.917,4.953
13:03:26,4.905,4.953
13:03:25,4.905,4.965
13:03:24,4.917,4.953
13:03:23,4.917,4.953
13:03:22,4.917,4.965
13:03:21,4.894,4.953
13:03:20,4.917,4.965
13:03:19,4.905,4.953
13:03:18,4.917,4.965
13:03:17,4.905,4.953
13:03:16,4.917,4.929
13:03:15,4.917,4.965
13:03:14,4.917,4.953
13:03:13,4.917,4.976
13:03:12,4.894,4.953
13:03:11,4.917,4.941
13:03:10,4.905,4.953
13:03:09,4.917,4.965
13:03:08,4.917,4.965
13:03:07,4.905,4.953
13:03:06,4.929,4.965
13:03:05,4.917,4.941
13:03:04,4.905,4.953
13:03:02,4.917,4.953
13:03:02,4.929,4.965
13:03:01,4.917,4.953
13:03:00,4.929,4.953
13:02:59,4.917,4.953
13:02:58,4.917,4.953
13:02:57,4.929,4.953
13:02:56,4.917,4.953
13:02:54,4.917,4.965
13:02:54,4.917,4.953
13:02:53,4.917,4.965
13:02:52,4.905,4.953
13:02:52,4.894,4.941
13:02:50,4.917,4.953
13:02:49,4.882,4.953
13:02:48,4.905,4.953
13:02:47,4.905,4.953
13:02:47,4.905,4.965
13:02:45,4.917,4.953
13:02:44,4.905,4.953
13:02:43,4.929,4.965
13:02:42,4.905,4.941
13:02:41,4.905,4.965
13:02:40,4.917,4.941
13:02:39,4.917,4.976
13:02:38,4.941,4.976
13:02:37,4.929,4.965
13:02:36,4.929,4.953
13:02:35,4.905,4.965
13:02:34,4.917,4.953
13:02:33,4.917,4.953
13:02:32,4.917,4.965
13:02:31,4.917,4.953
13:02:30,4.917,4.953
13:02:29,4.917,4.941
13:02:28,4.929,4.976
13:02:27,4.905,4.953
13:02:26,4.917,4.953
13:02:25,4.917,4.965
13:02:24,4.905,4.941
13:02:23,4.917,4.965
13:02:22,4.905,4.953
13:02:21,4.917,4.965
13:02:20,4.905,4.965
13:02:19,4.929,4.941
13:02:18,4.929,4.953
13:02:17,4.917,4.953
13:02:16,4.894,4.965
13:02:15,4.905,4.941
13:02:14,4.929,4.965
13:02:13,4.905,4.929
13:02:12,4.917,4.965
13:02:11,4.917,4.953
13:02:10,4.905,4.953
13:02:09,4.905,4.965
13:02:08,4.917,4.953
13:02:07,4.917,5.048
13:02:06,4.905,4.941
13:02:05,4.929,4.965
13:02:04,4.929,4.953
13:02:03,4.917,4.953
13:02:02,4.917,4.965
13:02:01,4.929,4.965
13:02:00,4.905,4.965
13:01:59,4.917,4.941
13:01:58,4.929,4.965
13:01:57,4.917,4.965
13:01:56,4.917,4.965
13:01:55,4.905,4.965
13:01:54,4.917,4.965
13:01:53,4.905,4.953
13:01:52,4.917,4.965
13:01:51,4.929,4.965
13:01:50,4.905,4.953
13:01:49,4.917,4.965
13:01:48,4.905,4.953
13:01:47,4.917,4.953
13:01:46,4.917,4.953
13:01:45,4.905,4.953
13:01:44,4.917,4.965
13:01:43,4.894,4.953
13:01:42,4.917,4.965
13:01:41,4.905,4.965
13:01:40,4.917,4.965
13:01:39,4.917,4.953
13:01:38,4.894,4.941
13:01:37,4.905,4.953
13:01:36,4.917,4.953
13:01:35,4.905,4.953
13:01:34,4.894,4.953
13:01:33,4.905,4.965
13:01:32,4.905,4.953
13:01:30,4.929,4.965
13:01:30,4.905,4.965
13:01:29,4.905,4.941
13:01:28,4.917,4.976
13:01:27,4.917,4.953
13:01:25,4.917,4.965
13:01:25,4.905,4.941
13:01:24,4.894,4.976
13:01:23,4.905,4.965
13:01:22,4.917,4.965
13:01:21,4.917,4.953
13:01:20,4.929,4.953
13:01:19,4.929,4.976
13:01:18,4.929,4.941
13:01:17,4.917,4.941
13:01:16,4.917,4.953
13:01:15,4.917,4.965
13:01:14,4.905,4.965
13:01:13,4.929,4.953
13:01:12,4.929,4.965
13:01:11,4.894,4.953
13:01:10,4.917,4.953
13:01:09,4.894,4.953
13:01:08,4.929,4.965
13:01:07,4.917,4.953
13:01:06,4.929,4.953
13:01:05,4.917,4.976
13:01:04,4.917,4.965
13:01:03,4.917,4.965
13:01:02,4.929,4.941
13:01:01,4.917,4.953
13:01:00,4.894,4.953
13:00:58,4.917,4.941
13:00:58,4.917,4.953
13:00:57,4.894,4.941
13:00:56,4.929,4.965
13:00:55,4.917,4.941
13:00:54,4.905,4.965
13:00:53,4.905,4.953
13:00:52,4.905,4.965
13:00:51,4.905,4.953
13:00:50,4.917,4.953
13:00:49,4.917,4.941
13:00:48,4.905,4.953
13:00:47,4.929,4.965
